,Na,K,Ca,Mg,Fe,Mn,Sr
1,27.01,1.57,21.03,6.51,0.17,0.02,0.92
2,27.68,1.3,8.03,4.36,0.44,0.03,0.96
3,28.87,8.35,18.46,13.17,0.3,0.31,1.13
4,14.52,1.62,11.13,1.63,0.28,0.03,0.99
5,20.05,17.55,11.58,51.86,0.32,0.89,1.12
6,29.93,10.69,16.56,11.32,0.25,0.25,1.07
7,24.77,0.7,9.2,5.44,0.23,0.02,0.93
8,48.63,37.01,33.16,19.99,0.27,0.67,1.38
9,25,4.57,1.31,1.32,0.28,0.02,0.66
10,31.4,4.55,16.58,9.31,0.68,0.13,0.85
11,34.28,6.95,14.82,9.85,1.17,0.3,1.21
12,35.68,13.64,23.51,13.9,0.79,0.49,1.32
13,24.08,1.62,6.69,5.37,0.68,0.04,0.92
14,14.18,1.04,0.63,0.99,0.49,0.04,0.88
15,26.85,2.9,5.94,4.62,5.67,0.16,0.9
16,70.59,9.49,4.41,3.75,2,0.17,0.86
17,22.48,0.45,6.17,2.55,0.26,0.02,0.28
18,127.57,7.52,5.13,10.27,0.58,0.03,0.45
19,20.12,1.29,3.52,2.52,0.59,0.03,0.45
20,17.31,1.2,2.87,1.96,0.45,0.02,0.61
21,23.92,3.01,6.72,3.53,0.29,0.06,0.78
22,56.51,20.01,9.86,8.16,0.3,0.06,0.88
